name,id_spotify,id_genius,url_genius,genres
Pins & Dimeh,4Ahw76UVS2GoBsByIdRjQt,988158,https://genius.com/artists/Pins-and-dimeh,
Aladin 135,2q8BTMaWesmxIXCB817C9I,146430,https://genius.com/artists/Aladin-135,
L'entourage,0uziZOQoq7GATTdJqMOX5s,13061,https://genius.com/artists/Lentourage,
Take a Mic,1oabIvG8mrqtx1uaRrOyPd,68618,https://genius.com/artists/Take-a-mic,
twinsmatic,3gYoYSbWPhxA0zY9lZ4Ldv,184460,https://genius.com/artists/Twinsmatic,
Anabel,50L9hhqxqvBX5FjcBV5t8P,56261,https://genius.com/artists/Anabel-englund,french pop
Sam's,3mvmdWXXKKpUrmYTvdALyS,49085,https://genius.com/artists/Basta,
7 Jaws,2HXioEvQuzCcNmRsImBTET,1078135,https://genius.com/artists/Web7,
XV,0bLmm8afVAt8Vb5nhPsx1B,1261636,https://genius.com/artists/Xvxx,
Cenza,4RuE2yh2mYFBcELzPyLoyF,16505,https://genius.com/artists/Cenza,
VILK,47xk0ajcKCEKpiExs2FDZm,357109,https://genius.com/artists/Ted-gardestad,
La Smala,11VqEMsX1gln47ik7tS9fc,37257,https://genius.com/artists/La-smala,
Les Sages Poètes de la rue,5cHEMXrGvrs8I6iYWNwTkh,1970,https://genius.com/artists/Les-sages-poetes-de-la-rue,
Junior Bvndo,58lWi9l7zeTHdUz6Glzm9p,1120806,https://genius.com/artists/Junior-bvndo,pop urbaine
La Brigade,0KmSqHKu9V4ZvexLyQiS5X,16172,https://genius.com/artists/La-brigade,
Kobo,5O5o8ORa6JnUInvOUmmvft,3109470,https://genius.com/artists/Kobo-kanaeru,
Badjer,2FUHt23aPFLisAYXN73JMT,1080563,https://genius.com/artists/Badjer,
Lasco,3dJuPTbC8aP88uCs6qB3Ra,331656,https://genius.com/artists/Lasco,
Tendry,5Br2VeVa0olMTdROCRLDPR,1124551,https://genius.com/artists/Tendry,
